condition_seed,noise_seed,node_count,trajectory,decision_index,action_id,action_kind,action_probability,counterfactual_task_gain,communication_penalty,resynchronization_penalty,topology_switch_penalty,training_objective,objective_gain_over_keep
1504,0,10,policy,6,1,remove,0.007099824491888285,-0.0052586745526147505,0.003416666666666667,0.0,0.001,-0.009675341219281416,-0.005758674552614749
1504,0,10,policy,6,10,remove,0.006140144541859627,-0.006408637874494527,0.0035,0.0,0.001,-0.010908637874494528,-0.00699197120782786
1504,0,10,policy,9,0,keep,0.9055120944976807,0.0,0.0023333333333333335,0.0,0.0,-0.0023333333333333335,0.0
1504,0,10,policy,9,1,remove,0.007679617963731289,-0.0009129954695644704,0.002,0.0,0.001,-0.0039129954695644705,-0.001579662136231137
1504,0,10,policy,9,10,remove,0.009239221923053265,0.0014620366803662632,0.0021666666666666666,0.0,0.001,-0.0017046299863004034,0.0006287033470329302
1505,0,5,keep,0,0,keep,0.08252781629562378,0.0,0.0036666666666666666,0.0,0.0,-0.0036666666666666666,0.0
1505,0,5,keep,0,1,add,0.1273822784423828,0.012346581556050618,0.004166666666666667,0.0004,0.001,0.006779914889383952,0.010446581556050619
1505,0,5,keep,0,2,swap,0.007278797682374716,-0.04845083290429231,0.0031666666666666666,0.0004,0.001,-0.05301749957095897,-0.049350832904292305
1505,0,5,keep,0,20,add,0.1278192400932312,-0.0006871007890072445,0.0045000000000000005,0.0004,0.001,-0.006587100789007245,-0.0029204341223405786
1505,0,5,keep,0,22,swap,0.0033226562663912773,0.07419708629571109,0.0035,0.0004,0.001,0.06929708629571109,0.07296375296237775
1505,0,5,keep,3,0,keep,0.07967972755432129,0.0,0.004,0.0,0.0,-0.004,0.0
1505,0,5,keep,3,1,add,0.12958844006061554,0.000325352169559312,0.004333333333333333,0.0004,0.001,-0.005407981163774021,-0.0014079811637740212
1505,0,5,keep,3,2,swap,0.006333924364298582,-0.010710855494215799,0.0033333333333333335,0.0004,0.001,-0.015444188827549131,-0.011444188827549131
1505,0,5,keep,3,20,add,0.13292717933654785,0.0010414872681668852,0.004833333333333333,0.0004,0.001,-0.005191846065166448,-0.0011918460651664476
